,song_name,rhythm_L2,pitch_L2,pitch_der_L2,pitch_med_L2,vib_frame_L2,rhythm_L6_L2,pitch_L6_L2,pitch_der_L6_L2,pitch_med_L6_L2,vib_frame_L6_L2,timbral_dist,pitch_dist,pitch_der_dist,pitch_med_dist,vib_segment_dist,vib_frame_dist,volume_dist,pitch_dynamic_dist,emolina_rhythm_mfcc_dist,emolina_rhythm_pitch_dist,melodiousness,articulation,rhythmic_complexity,rhythm_stability,dissonance,tonality,modality,GT
66,DANI_6,-0.19127049999999998,0.700442937,0.20573568600000003,0.147366843,0.910707081,-0.225847257,0.667440157,0.16327782300000002,0.078155135,0.8211427490000001,0.954594032,-0.69717216,0.866758033,0.630769682,1.052209183,1.107347308,1.980062464,0.295428485,-0.15739139,0.049036035,6.782684326171875,3.413527250289917,3.7399697303771973,4.669872760772705,3.5973193645477295,6.928343772888184,5.8554863929748535,2.8
67,DANI_0,0.927629892,1.583278844,0.822670131,0.007573361,-0.319752716,0.8592945559999999,1.572365569,0.676984655,0.00220889,-0.528429394,0.502648005,-0.626474526,0.816953767,1.777115081,-0.669949048,0.5376558610000001,0.228242261,-0.040877149,0.12354516,0.382352276,6.399667263031006,3.227647066116333,3.6631674766540527,4.397351264953613,3.783766984939575,6.724562644958496,6.008701324462891,2.8
68,DANI_5,0.23035086800000001,1.572820775,0.159587399,2.144502484,0.384770991,0.183593573,1.513165153,0.07581528400000001,1.862749629,0.223753757,0.989022735,-0.6845423620000001,-0.02844985,0.237144432,1.291454186,1.342030186,1.4491856269999999,0.134482217,-0.064439341,0.460245246,6.544620513916016,3.550114393234253,3.851217269897461,4.654270172119141,3.722033977508545,6.854730129241943,5.844058990478516,2.8
69,DANI_7,1.167284404,1.461508118,1.292099465,0.9177329240000001,1.179985205,1.077833001,1.4307949430000002,1.306899263,0.8487121209999999,1.093686328,0.792092949,-0.830692247,0.576656116,1.145775166,0.18794087,0.654943508,1.743144679,1.561378978,0.332308504,0.6600695320000001,6.239529609680176,3.3156726360321045,3.652399778366089,4.408926486968994,3.7997379302978516,6.677816867828369,6.005704879760742,2.8
70,DANI_3,1.154623791,2.1336818109999998,-0.843541278,-0.667437967,0.67925151,1.075573416,2.147971708,-0.873807645,-0.662828698,0.6587932870000001,0.697117338,-0.7233856740000001,0.61260824,0.6063717160000001,0.8242987629999999,-0.072063137,1.1737773459999998,1.77277109,-0.10104139699999999,1.317281435,6.2197184562683105,3.339318037033081,3.668914794921875,4.404720306396484,3.8313469886779785,6.678934574127197,6.008790016174316,2.8
71,DANI_1,0.005975698000000001,0.7121226959999999,0.804926246,0.7682193140000001,2.083495596,-0.027521194,0.6918900920000001,0.701465845,0.650944489,1.97428214,0.584424094,-0.745491146,-0.10194022,1.2329586270000001,1.017379592,0.7489191409999999,-0.066734439,0.201743344,-0.124149971,1.252926432,6.719862461090088,3.288792133331299,3.649519443511963,4.594546318054199,3.5866103172302246,6.885854244232178,5.827223777770996,2.8
72,MPUR_3,-0.7950542279999999,-0.029450526,-0.670363196,-0.336624087,-0.705531846,-0.827682658,0.022271118,-0.696793805,-0.307764808,-0.791586597,-0.738589646,0.407060594,0.264797878,0.828972075,-0.355464688,-0.547409995,0.119969491,1.347584682,-0.37482957899999997,-0.579421107,6.490945339202881,3.396495819091797,3.6637344360351562,4.739931106567383,3.719273090362549,6.818285942077637,5.78679895401001,2.0
73,MPUR_6,-0.811495595,-0.794361502,1.304323887,1.4737849680000001,0.79670824,-0.8425408209999999,-0.8174026740000001,1.1704166790000001,1.38567635,0.700134643,0.533898711,0.495628071,0.102934015,0.304127052,-0.561252958,0.127695345,-0.565930947,0.36268961200000005,-0.359733445,0.7269821540000001,6.7888078689575195,3.6548030376434326,3.8713583946228027,5.114634990692139,3.5529162883758545,6.992884159088135,5.387178897857666,2.0
74,MPUR_0,-0.8713356720000001,-0.634343832,-0.998186138,-0.9957840259999999,-1.166486353,-0.90379781,-0.640725058,-1.048452334,-1.0345810640000002,-1.365552614,-1.274620336,-1.42509604,-0.709213888,-1.035864407,-0.860280704,-0.663545643,-0.276794301,0.285819752,-0.36699993200000003,-1.108037157,6.528731346130371,3.2513229846954346,3.7613556385040283,4.623773574829102,3.7051398754119873,6.790670871734619,5.802203178405762,2.0
75,MPUR_1,-0.638022151,-0.510238191,-0.8237140359999999,-0.981446017,0.449419419,-0.6689974639999999,-0.51251676,-0.87956048,-1.016717122,0.33928076799999995,-1.14585958,-1.374797276,-1.182618765,-1.021952218,-1.196169503,-0.801319846,-0.271310681,0.09604728800000001,-0.34517368,-0.9794553540000001,6.869987487792969,3.330409288406372,3.860046863555908,4.833813667297363,3.5693347454071045,6.938393592834473,5.6666059494018555,2.0
76,MPUR_2,-0.533385756,-0.794361502,0.377337518,0.576796916,0.726199765,-0.566616102,-0.8174026740000001,0.250791091,0.397693901,0.533295229,0.547694408,1.2442778270000001,0.439985175,-0.587344677,-0.850944675,0.097026979,-0.642753901,0.069623273,-0.359536304,-0.10497815099999999,6.787331581115723,3.7716736793518066,3.818143367767334,5.256832599639893,3.623176097869873,6.966732978820801,5.438500881195068,2.0
77,MPUR_7,-0.848228973,0.709699236,-0.7286994309999999,-0.26978136399999997,0.15390135,-0.8847649890000001,0.787530112,-0.7504507420000001,-0.231177403,0.163708288,-0.35593330100000004,0.289512551,-0.053034758,0.697061343,-0.622271271,-0.663688104,0.100446903,1.16742095,-0.366118257,-0.603933925,6.412327766418457,3.3557727336883545,3.7078468799591064,4.6698408126831055,3.757310152053833,6.7625837326049805,5.8070831298828125,2.0
78,MPUR_5,-0.275024316,-0.794361502,-0.65849467,-0.8870419970000001,0.161769199,-0.320111286,-0.8174026740000001,-0.7167050079999999,-0.932640355,-0.012130213999999999,-0.40513769899999996,0.8725107609999999,-0.5545510229999999,-1.080906668,0.347125505,0.034473492,-0.635334484,0.502016231,-0.279389952,-0.23148206,6.670359134674072,3.4292473793029785,3.744779109954834,5.04175329208374,3.621407985687256,6.861690521240234,5.473557472229004,2.0
